,dateRep,day,month,year,cases,deaths,countriesAndTerritories,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,percentage_handwashing_facility_2020
0,2020-12-14,14,12,2020,746,6,Afghanistan,AFG,38041757.0,Asia,9.01377925,38
1,2020-12-13,13,12,2020,298,9,Afghanistan,AFG,38041757.0,Asia,7.05277624,38
2,2020-12-12,12,12,2020,113,11,Afghanistan,AFG,38041757.0,Asia,6.86876792,38
3,2020-11-12,11,12,2020,63,10,Afghanistan,AFG,38041757.0,Asia,7.13426564,38
4,2020-10-12,10,12,2020,202,16,Afghanistan,AFG,38041757.0,Asia,6.96865815,38
5,2020-09-12,9,12,2020,135,13,Afghanistan,AFG,38041757.0,Asia,6.96340077,38
6,2020-08-12,8,12,2020,200,6,Afghanistan,AFG,38041757.0,Asia,7.09483529,38
7,2020-07-12,7,12,2020,210,26,Afghanistan,AFG,38041757.0,Asia,7.21575505,38
8,2020-06-12,6,12,2020,234,10,Afghanistan,AFG,38041757.0,Asia,7.32616004,38
9,2020-05-12,5,12,2020,235,18,Afghanistan,AFG,38041757.0,Asia,7.11586481,38
10,2020-04-12,4,12,2020,119,5,Afghanistan,AFG,38041757.0,Asia,7.10797874,38
11,2020-03-12,3,12,2020,202,19,Afghanistan,AFG,38041757.0,Asia,7.53645527,38
12,2020-02-12,2,12,2020,400,48,Afghanistan,AFG,38041757.0,Asia,7.00545982,38
13,2020-01-12,1,12,2020,272,11,Afghanistan,AFG,38041757.0,Asia,6.96077208,38
14,2020-11-30,30,11,2020,0,0,Afghanistan,AFG,38041757.0,Asia,6.41663317,38
15,2020-11-29,29,11,2020,228,11,Afghanistan,AFG,38041757.0,Asia,6.8451097,38
16,2020-11-28,28,11,2020,214,15,Afghanistan,AFG,38041757.0,Asia,6.78464983,38
17,2020-11-27,27,11,2020,0,0,Afghanistan,AFG,38041757.0,Asia,6.39560365,38
18,2020-11-26,26,11,2020,200,12,Afghanistan,AFG,38041757.0,Asia,7.34193218,38
19,2020-11-25,25,11,2020,185,13,Afghanistan,AFG,38041757.0,Asia,7.1999829,38
20,2020-11-24,24,11,2020,246,17,Afghanistan,AFG,38041757.0,Asia,6.71367519,38
21,2020-11-23,23,11,2020,252,8,Afghanistan,AFG,38041757.0,Asia,6.655844,38
22,2020-11-22,22,11,2020,154,12,Afghanistan,AFG,38041757.0,Asia,6.20370926,38
23,2020-11-21,21,11,2020,232,25,Afghanistan,AFG,38041757.0,Asia,6.13010593,38
24,2020-11-20,20,11,2020,282,5,Afghanistan,AFG,38041757.0,Asia,5.6727138,38
25,2020-11-19,19,11,2020,0,0,Afghanistan,AFG,38041757.0,Asia,5.03657073,38
26,2020-11-18,18,11,2020,383,13,Afghanistan,AFG,38041757.0,Asia,5.35464227,38
27,2020-11-17,17,11,2020,65,6,Afghanistan,AFG,38041757.0,Asia,4.57392123,38
28,2020-11-16,16,11,2020,163,9,Afghanistan,AFG,38041757.0,Asia,4.65278194,38
29,2020-11-15,15,11,2020,205,12,Afghanistan,AFG,38041757.0,Asia,4.57129254,38
30,2020-11-14,14,11,2020,66,10,Afghanistan,AFG,38041757.0,Asia,4.23219148,38
31,2020-11-13,13,11,2020,360,14,Afghanistan,AFG,38041757.0,Asia,4.47140231,38
32,2020-12-11,12,11,2020,146,4,Afghanistan,AFG,38041757.0,Asia,3.84840269,38
33,2020-11-11,11,11,2020,0,0,Afghanistan,AFG,38041757.0,Asia,3.4646139,38
34,2020-10-11,10,11,2020,224,12,Afghanistan,AFG,38041757.0,Asia,3.76165591,38
35,2020-09-11,9,11,2020,80,3,Afghanistan,AFG,38041757.0,Asia,3.69593865,38
36,2020-08-11,8,11,2020,126,6,Afghanistan,AFG,38041757.0,Asia,3.65650829,38
37,2020-07-11,7,11,2020,58,2,Afghanistan,AFG,38041757.0,Asia,3.53821723,38
38,2020-06-11,6,11,2020,40,0,Afghanistan,AFG,38041757.0,Asia,3.5461033,38
39,2020-05-11,5,11,2020,121,6,Afghanistan,AFG,38041757.0,Asia,3.74588377,38
40,2020-04-11,4,11,2020,86,4,Afghanistan,AFG,38041757.0,Asia,3.78268543,38
41,2020-03-11,3,11,2020,95,3,Afghanistan,AFG,38041757.0,Asia,3.78794281,38
42,2020-02-11,2,11,2020,132,5,Afghanistan,AFG,38041757.0,Asia,3.76691329,38
43,2020-01-11,1,11,2020,76,0,Afghanistan,AFG,38041757.0,Asia,3.57501889,38
44,2020-10-31,31,10,2020,157,4,Afghanistan,AFG,38041757.0,Asia,3.55398937,38
45,2020-10-30,30,10,2020,123,3,Afghanistan,AFG,38041757.0,Asia,3.26483343,38
46,2020-10-29,29,10,2020,0,0,Afghanistan,AFG,38041757.0,Asia,2.94150452,38
47,2020-10-28,28,10,2020,113,7,Afghanistan,AFG,38041757.0,Asia,3.02562261,38
48,2020-10-27,27,10,2020,199,8,Afghanistan,AFG,38041757.0,Asia,2.90207416,38
49,2020-10-26,26,10,2020,65,3,Afghanistan,AFG,38041757.0,Asia,2.71806583,38
50,2020-10-25,25,10,2020,81,4,Afghanistan,AFG,38041757.0,Asia,2.79955524,38
51,2020-10-24,24,10,2020,61,2,Afghanistan,AFG,38041757.0,Asia,2.58663132,38
52,2020-10-23,23,10,2020,116,4,Afghanistan,AFG,38041757.0,Asia,2.45256811,38
53,2020-10-22,22,10,2020,135,2,Afghanistan,AFG,38041757.0,Asia,2.35004918,38
54,2020-10-21,21,10,2020,88,2,Afghanistan,AFG,38041757.0,Asia,2.17392693,38
55,2020-10-20,20,10,2020,87,5,Afghanistan,AFG,38041757.0,Asia,2.10558098,38
56,2020-10-19,19,10,2020,59,4,Afghanistan,AFG,38041757.0,Asia,2.25804502,38
57,2020-10-18,18,10,2020,68,3,Afghanistan,AFG,38041757.0,Asia,2.21861467,38
58,2020-10-17,17,10,2020,47,4,Afghanistan,AFG,38041757.0,Asia,2.05826455,38
59,2020-10-16,16,10,2020,0,0,Afghanistan,AFG,38041757.0,Asia,1.94785956,38
